ID / Código Externo;Nome do Insumo;Categoria;Subcategoria;Unidade;Preço Unitário;Estoque Atual;Estoque Mínimo;Local / Obra;Ativo;Observações;Página Fonte
SIENGE-908;Acelerador de Pega para Argamassas e Concretos Não Estruturais;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-909;Acelerador de Pega Ultrarrápida;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-910-01;Adesivo de Alto Desempenho para Argamassas e Chapiscos / Bianco;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;"Código de origem repetido; usar o ID externo; Preço de origem zerado";11
SIENGE-910-02;Adesivo de Alto Desempenho para Argamassas e Chapiscos;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;"Código de origem repetido; usar o ID externo; Preço de origem zerado";11
SIENGE-911;Adesivo de Base Acrílica para Argamassas;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;l;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-912;Adesivo e Selador de Base Acrílica para Argamassas;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-913;Adesivo Estrutural de Base Epóxi e Alta Fluidez;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-914;Adesivo Estrutural de Base Epóxi e Baixa Fluidez - 1 kg;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-915;Adesivo Estrutural de Base Epóxi e Baixa Fluidez;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-916;Adesivo Estrutural de Base Epóxi e Média Fluidez - 1 kg;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-917;Adesivo Estrutural de Base Epóxi e Média Fluidez;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-918;Adesivo Estrutural de Base Epóxi para Trincas e Fissuras Estruturais;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-919;Adesivo para Argamassas e Chapisco;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-920;Adesivo PVA;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-921;Adesivo Vedante para Calhas e Rufos - 400 g;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-922;Aditivo Acelerador de Pega e Plastificante para Concreto;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-923;Aditivo Acelerador de Pega e Resistência para Concreto;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-924;Aditivo Acelerador de Pega para Concreto Projetado;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-925;Aditivo Acelerador para Graute;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-926;Aditivo Adesivo para Argamassa;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;kg;0,0000;;;;Sim;Preço de origem zerado;11
SIENGE-927-01;Aditivo Compensador de Retração para Argamassas Secas / Expansor;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;0,0000;;;;Sim;"Código de origem repetido; usar o ID externo; Preço de origem zerado";11
SIENGE-927-02;Aditivo Compensador de Retração para Argamassas Secas;Argamassas e Selantes;ADESIVOS, ADITIVOS E SELANTES;un;16,8700;;;;Sim;"Código de origem repetido; usar o ID externo";11
